,start_month,order_month,months_diff,count_of_users,start_month_users,retention
0,2016-09,2016-09,0,1,1,100.0
1,2016-10,2016-10,0,262,262,100.0
2,2016-10,2017-04,6,1,262,0.38
3,2016-10,2017-07,9,1,262,0.38
4,2016-10,2017-09,11,1,262,0.38
5,2016-10,2017-11,13,1,262,0.38
6,2016-10,2018-01,15,1,262,0.38
7,2016-10,2018-03,17,1,262,0.38
8,2016-10,2018-05,19,2,262,0.76
9,2016-10,2018-06,20,2,262,0.76
10,2016-12,2016-12,0,1,1,100.0
11,2016-12,2017-01,1,1,1,100.0
12,2017-01,2017-01,0,717,717,100.0
13,2017-01,2017-02,1,2,717,0.28
14,2017-01,2017-03,2,2,717,0.28
15,2017-01,2017-04,3,1,717,0.14
16,2017-01,2017-05,4,3,717,0.42
17,2017-01,2017-06,5,1,717,0.14
18,2017-01,2017-07,6,3,717,0.42
19,2017-01,2017-08,7,1,717,0.14
20,2017-01,2017-09,8,1,717,0.14
21,2017-01,2017-11,10,3,717,0.42
22,2017-01,2017-12,11,1,717,0.14
23,2017-01,2018-01,12,5,717,0.7
24,2017-01,2018-02,13,3,717,0.42
25,2017-01,2018-03,14,1,717,0.14
26,2017-01,2018-04,15,1,717,0.14
27,2017-01,2018-05,16,2,717,0.28
28,2017-01,2018-06,17,3,717,0.42
29,2017-01,2018-08,19,1,717,0.14
30,2017-02,2017-02,0,1628,1628,100.0
31,2017-02,2017-03,1,3,1628,0.18
32,2017-02,2017-04,2,5,1628,0.31
33,2017-02,2017-05,3,2,1628,0.12
34,2017-02,2017-06,4,7,1628,0.43
35,2017-02,2017-07,5,2,1628,0.12
36,2017-02,2017-08,6,4,1628,0.25
37,2017-02,2017-09,7,3,1628,0.18
38,2017-02,2017-10,8,2,1628,0.12
39,2017-02,2017-11,9,3,1628,0.18
40,2017-02,2017-12,10,2,1628,0.12
41,2017-02,2018-01,11,5,1628,0.31
42,2017-02,2018-02,12,2,1628,0.12
43,2017-02,2018-03,13,3,1628,0.18
44,2017-02,2018-04,14,2,1628,0.12
45,2017-02,2018-05,15,1,1628,0.06
46,2017-02,2018-06,16,1,1628,0.06
47,2017-02,2018-07,17,3,1628,0.18
48,2017-03,2017-03,0,2503,2503,100.0
49,2017-03,2017-04,1,11,2503,0.44
50,2017-03,2017-05,2,9,2503,0.36
51,2017-03,2017-06,3,10,2503,0.4
52,2017-03,2017-07,4,9,2503,0.36
53,2017-03,2017-08,5,4,2503,0.16
54,2017-03,2017-09,6,4,2503,0.16
55,2017-03,2017-10,7,8,2503,0.32
56,2017-03,2017-11,8,8,2503,0.32
57,2017-03,2017-12,9,2,2503,0.08
58,2017-03,2018-01,10,9,2503,0.36
59,2017-03,2018-02,11,3,2503,0.12
60,2017-03,2018-03,12,5,2503,0.2
61,2017-03,2018-04,13,3,2503,0.12
62,2017-03,2018-05,14,4,2503,0.16
63,2017-03,2018-06,15,6,2503,0.24
64,2017-03,2018-07,16,2,2503,0.08
65,2017-03,2018-08,17,3,2503,0.12
66,2017-04,2017-04,0,2256,2256,100.0
67,2017-04,2017-05,1,14,2256,0.62
68,2017-04,2017-06,2,5,2256,0.22
69,2017-04,2017-07,3,4,2256,0.18
70,2017-04,2017-08,4,6,2256,0.27
71,2017-04,2017-09,5,6,2256,0.27
72,2017-04,2017-10,6,8,2256,0.35
73,2017-04,2017-11,7,7,2256,0.31
74,2017-04,2017-12,8,7,2256,0.31
75,2017-04,2018-01,9,4,2256,0.18
76,2017-04,2018-02,10,6,2256,0.27
77,2017-04,2018-03,11,2,2256,0.09
78,2017-04,2018-04,12,1,2256,0.04
79,2017-04,2018-05,13,1,2256,0.04
80,2017-04,2018-06,14,2,2256,0.09
81,2017-04,2018-07,15,2,2256,0.09
82,2017-04,2018-08,16,3,2256,0.13
83,2017-05,2017-05,0,3451,3451,100.0
84,2017-05,2017-06,1,16,3451,0.46
85,2017-05,2017-07,2,16,3451,0.46
86,2017-05,2017-08,3,10,3451,0.29
87,2017-05,2017-09,4,10,3451,0.29
88,2017-05,2017-10,5,11,3451,0.32
89,2017-05,2017-11,6,14,3451,0.41
90,2017-05,2017-12,7,5,3451,0.14
91,2017-05,2018-01,8,9,3451,0.26
92,2017-05,2018-02,9,9,3451,0.26
93,2017-05,2018-03,10,9,3451,0.26
94,2017-05,2018-04,11,12,3451,0.35
95,2017-05,2018-05,12,8,3451,0.23
96,2017-05,2018-06,13,1,3451,0.03
97,2017-05,2018-07,14,6,3451,0.17
98,2017-05,2018-08,15,7,3451,0.2
99,2017-06,2017-06,0,3037,3037,100.0
100,2017-06,2017-07,1,15,3037,0.49
101,2017-06,2017-08,2,12,3037,0.4
102,2017-06,2017-09,3,13,3037,0.43
103,2017-06,2017-10,4,9,3037,0.3
104,2017-06,2017-11,5,12,3037,0.4
105,2017-06,2017-12,6,11,3037,0.36
106,2017-06,2018-01,7,7,3037,0.23
107,2017-06,2018-02,8,4,3037,0.13
108,2017-06,2018-03,9,6,3037,0.2
109,2017-06,2018-04,10,9,3037,0.3
110,2017-06,2018-05,11,11,3037,0.36
111,2017-06,2018-06,12,5,3037,0.16
112,2017-06,2018-07,13,5,3037,0.16
113,2017-06,2018-08,14,7,3037,0.23
114,2017-07,2017-07,0,3752,3752,100.0
115,2017-07,2017-08,1,20,3752,0.53
116,2017-07,2017-09,2,13,3752,0.35
117,2017-07,2017-10,3,9,3752,0.24
118,2017-07,2017-11,4,11,3752,0.29
119,2017-07,2017-12,5,8,3752,0.21
120,2017-07,2018-01,6,12,3752,0.32
121,2017-07,2018-02,7,4,3752,0.11
122,2017-07,2018-03,8,7,3752,0.19
123,2017-07,2018-04,9,10,3752,0.27
124,2017-07,2018-05,10,8,3752,0.21
125,2017-07,2018-06,11,11,3752,0.29
126,2017-07,2018-07,12,5,3752,0.13
127,2017-07,2018-08,13,9,3752,0.24
128,2017-08,2017-08,0,4057,4057,100.0
129,2017-08,2017-09,1,28,4057,0.69
130,2017-08,2017-10,2,14,4057,0.35
131,2017-08,2017-11,3,11,4057,0.27
132,2017-08,2017-12,4,14,4057,0.35
133,2017-08,2018-01,5,21,4057,0.52
134,2017-08,2018-02,6,12,4057,0.3
135,2017-08,2018-03,7,11,4057,0.27
136,2017-08,2018-04,8,6,4057,0.15
137,2017-08,2018-05,9,6,4057,0.15
138,2017-08,2018-06,10,10,4057,0.25
139,2017-08,2018-07,11,8,4057,0.2
140,2017-08,2018-08,12,5,4057,0.12
141,2017-09,2017-09,0,4004,4004,100.0
142,2017-09,2017-10,1,28,4004,0.7
143,2017-09,2017-11,2,22,4004,0.55
144,2017-09,2017-12,3,11,4004,0.27
145,2017-09,2018-01,4,18,4004,0.45
146,2017-09,2018-02,5,9,4004,0.22
147,2017-09,2018-03,6,9,4004,0.22
148,2017-09,2018-04,7,10,4004,0.25
149,2017-09,2018-05,8,11,4004,0.27
150,2017-09,2018-06,9,7,4004,0.17
151,2017-09,2018-07,10,10,4004,0.25
152,2017-09,2018-08,11,3,4004,0.07
153,2017-10,2017-10,0,4328,4328,100.0
154,2017-10,2017-11,1,31,4328,0.72
155,2017-10,2017-12,2,11,4328,0.25
156,2017-10,2018-01,3,4,4328,0.09
